state,location,million_plus_city,lat,lon,crash_date,crash_day,article_date,month,vehicle1,vehicle2,killed,injured,age,gender,road_type,crash_type
West Bengal,Bhattanagar,Kolkata,22.622898612019217,88.32155145335402,2022-07-30,Saturday,2022-07-31,July,Bicycle,Truck,1,0,13,Female,OR,Hit From Back
Uttarakhand,Tiuni,Nil,30.939362031695072,77.84815764793379,2022-07-31,Sunday,2022-08-01,August,Pick Up,Gorge,3,0,"22,20,65",Male,NH,Vehicle Overturn
Uttarakhand,Tiuni Bridge,Nil,30.94519791712276,77.8515850791922,2022-07-31,Sunday,2022-08-01,August,Two Wheeler,Railing,1,1,26,Male,NH,Fixed Object Collision
Tamil Nadu,Paddapai,Nil,12.888856784533612,80.02941404006906,2022-07-30,Saturday,2022-08-01,August,Two Wheeler,Car,2,1,"18,19",Male,SH,Hit From Side
Uttarakhand,Swala,Nil,29.26072299077224,80.07439203496646,2022-08-01,Monday,2022-08-02,August,Car,Gorge,1,1,46,Male,NH,Vehicle Overturn
Telangana,Shamshabad,Hyderabad,17.255340256368513,78.38134141799141,2022-08-01,Monday,2022-08-02,August,Car,Divider,1,2,21,Female,NH,Fixed Object Collision
Madhya Pradesh,Swarag Dham Ashram,Nil,23.254865875546862,77.57396822342128,2022-08-01,Monday,2022-08-03,August,Two Wheeler,Truck,1,0,26,Male,NH,Head On Collision
Goa,Navelim,Nil,15.252273017920528,73.96876094773741,2022-08-02,Tuesday,2022-08-03,August,Car,Divider,2,3,"72,74",Both,NH,Fixed Object Collision
Uttar Pradesh,Cherry County,Nil,28.601264171951183,77.44802114044302,2022-08-02,Tuesday,2022-08-03,August,Two Wheeler,Car,1,2,27,Male,OR,Head On Collision
Bihar,Bahuara Chowk,Nil,25.84611417232703,85.5986218975968,2022-08-03,Wednesday,2022-08-04,August,Pedestrian,Truck,5,7,,,SH,Hit and Run
Punjab,Ladhowal Flyover,Ludhiana,30.90460232938301,75.85365454882526,2022-08-03,Wednesday,2022-08-04,August,Two Wheeler,Truck,1,0,,Male,OR,With Parked Vehicle
Punjab,Jugiyana,Ludhiana,30.851348195494523,75.94820155476005,2022-08-03,Wednesday,2022-08-04,August,Two Wheeler,Truck,1,1,35,Female,SH,Others
Madhya Pradesh,Bherughat,Nil,22.480575141185227,75.94390693213485,2022-08-02,Tuesday,2022-08-04,August,Car,Truck,1,4,,Male,SH,Others
Maharashtra,Mahape Bridge,Mumbai,19.11412300743629,73.01796579551088,2022-08-03,Wednesday,2022-08-05,August,Two Wheeler,Unidentified,1,0,45,Male,OR,Hit and Run
Maharashtra,Hotel Gammat Jammat,Nil,20.033798280047844,73.68825716693007,2022-08-03,Wednesday,2022-08-05,August,SUV,Wall,1,6,18,Female,OR,Hit and Run
Jammu and Kashmir,Kella ,Nil,32.83851227320035,75.39320954302856,2022-08-04,Thursday,2022-08-05,August,Truck,Gorge,5,12,,,OR,Vehicle Overturn
Uttar Pradesh,Jaleelpur Road,Nil,29.142339160066125,78.2697179981714,2022-08-04,Thursday,2022-08-06,August,Car,Tree,3,2,"41,40,38",Male,SH,Fixed Object Collision
Uttar Pradesh,Bhootpuri,Nil,29.322011984558028,78.65378108142265,2022-08-04,Thursday,2022-08-06,August,Two Wheeler,Car,2,0,"40,39",Male,NH,Others
Tamil Nadu,Ankinayanapalli,Nil,12.53456018087644,78.39113093997939,2022-08-05,Friday,2022-08-06,August,Pedestrian,Car,4,0,"43,40,43,47",Male,SH,Hit and Run
